1292;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1461;Repaired Messages;NULL;15;;Repair messages sent/received to/from T2S;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
769;;19;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
527;;19;16;;Deliver Refrence Data for requested ISINs over webservice;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;17;;XETRA file transfer;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1167;S21 / CLA 01: HR-Daten;NULL;15;;Daily automated import early in the morning;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1167;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
150;S22 / CLA 06: PSP-Elemente;NULL;15;;Daily automated import early in the morning;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1305;Shift Plan;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
2;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1175;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
762;S64: Actuals Import;NULL;15;;Weekly import manually done by Clarity Admin;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
750;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
104;;19;18;;Get statement data from Corona Database;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
523;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
142;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1458;WMB_CDOC_DOCUMENT;19;18;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
749;;19;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
515;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
2;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
132;;NULL;NULL;;Proprietary WSS file format with absolute positions without delimiters.;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
20;IID2425 - RDF_PUBL_REQUEST;19;15;;RDF Publication request (any system can request but in practice it is CmaX and NCS);;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
821;IID3255 - EOC_CACU_CHECK_RECEIPT;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
2;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;Market Surveillance;19;17;;The Follwing Infromation is transfered to the Xetra PND:;Order;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1437;IID218 - CBF_PM_IN_SEMT026;NULL;15;;PM_IN_SEMT026;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;Market Surveillance;19;17;;The Follwing Infromation is transfered to the Xetra PND:;Quote;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
67;;NULL;NULL;;This is actually the conenction to XQC Xentric Quote Source which is an own appliccaiton for handling issuer quotes. Xqs distributes issue quotes to the public and internal consumer like Reuters, Issuer Bank and PND.;Quote;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
67;;NULL;NULL;;;Order;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1437;IID221 - CBF_PM_IN_SEMT028;NULL;15;;PM_IN_SEMT028;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
14;;NULL;NULL;;Statistix delivers INFOBOLSA price infromation to the PND.;Price;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
757;;19;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1413;;NULL;NULL;;Portal security remote EJB calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;WSS Master Data;19;17;;Master and Security Data over file transfer using custom file layout;Listing Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1437;IID2069 - LUXCSD_PM_IN_SEMT026;NULL;15;;PM_IN_SENT026;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;WSS Master Data;19;17;;Master and Security Data over file transfer using custom file layout;master and maturity data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;NULL;NULL;; ;Listing Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;NULL;NULL;; ;master and maturity data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
262;IID3258 - SEND_CACU_CHECK_TO_EOC;19;16;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);Listing Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1437;IID2065 - LUXCSD_PM_IN_SEMT017_RETRY;NULL;15;;PM_IN_SEMT017;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);master and maturity data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);Listing Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);master and maturity data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1416;GAF/RMI call to backend;NULL;NULL;;OASIS backend remote EJB calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);Listing Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;18;;Direct Access (OZM);master and maturity data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
24;;19;NULL;;File Upload;Admission data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
24;;19;NULL;;File Upload;Expiration data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
10;;19;NULL;;File Upload;Admission data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
10;;19;NULL;;File Upload;Expiration data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1425;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
4;CIL;19;15;;"Eurex Classic sends OTC Trade Prices and Open Interest to CEF; transport protocol and message format to be validated.";Open Interest;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
546;IID2427 - RDF_PUBL_REQUEST;19;15;;RDF Publication request (any system can request but in practice it is CmaX and NCS);;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
4;CIL;19;15;;"Eurex Classic sends OTC Trade Prices and Open Interest to CEF; transport protocol and message format to be validated.";OTC Trade Price;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1;;NULL;NULL;;Delivers data for Regular REporting e.g. BaFin;Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1455;Portal transversal services remote calls;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;File Upload;Admission data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;File Upload;Expiration data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1377;IAM backend remote interface call;NULL;NULL;;IAM façade remote interface call;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
42;;19;NULL;;File Upload;Admission data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
42;;19;NULL;;File Upload;Expiration data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1;;NULL;NULL;;FTP interfaces for Fee Fines & Schlussnoten;Fee;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1423;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
292;IID3415 - PUBL_PM_TIMELINE_CUSTODY;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
849;IID1424 - HUB_OAQInterface_VPN;19;18;;Processing ourbound files from HUB to VPN;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1415;IID3296 - Pre-release Copy;NULL;18;;Pre-release statuses are copied by PM/ICSD from the pre-release schema to the PM/ICSD (post-)release instruction schema;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
715;IID1439 - HUB_OUT_COLLAT_ASX;19;15;;Triparty Collateral Instruction Feedback;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1419;;NULL;NULL;;BMC backend remote EJB calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1435;GAF/RMI Call to backend;NULL;NULL;;POSE backend EJB remote call;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1421;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1378;IAM user grant publication RMI call;NULL;NULL;;Publication of IAM user grants (access control) and business resources groups composition ;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
821;IID3257 - EOC_CACU_VERIF_RECEIPT;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1110;CCS_GET_FX_FROM_DDR;NULL;NULL;;gets the FX rates from DDR golden copy;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1423;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1377;RMI call to backend;NULL;NULL;;Xact mobile portlet is part of the set of IAM portlets;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
729;IID3259 - SEND_CACU_CHECK_TO_EOC;NULL;18;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1190;IID3198 - CFN_WEB_ORDER_ROUTING_MQ_INT;19;18;;Order routing;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
262;IID3264 - SEND_CHK_TO_EOC;NULL;17;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
262;IID3261 - SEND_CACU_VERIF_TO_EOC;19;16;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
52;;NULL;NULL;; ;Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;HUEST RTA2;19;15;;Xetra delivers trades and quotes via non reliable ip multicast to SCILA (Zertifikatbörse is not covered). ;Order;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1477;GAF/RMI Call to Backend;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1423;;NULL;15;;BMC backend calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
715;IID1466 - HUB_OUT_COLLAT_IBERCLEAR;19;15;;Triparty Collateral Instruction Feedback;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1467;RMI Call to Backend;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1466;IID3208 - CASH_PAYMENT_ACK_INBOUND;19;18;;Receipt of MT900 message (as confirmation of previously sent MT103 to Paying Agent Component / NCCIP;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1473;RMI call to backend;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1459;GAF/RMI Call to backend;NULL;NULL;;T2S-I backend remote calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1421;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1423;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1439;GAF/RMI Call to backend;NULL;NULL;;BRC backend remote call;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1475;RMI Call to backend;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
729;IID3263 - SEND_RECO_TO_EOC;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1421;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1089;USTAX_CFX_FOREX_REQUEST;19;18;;Forex request;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1423;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1415;Call to Transversal Services;NULL;15;;Raise / complete / delete OSCAR tasks;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
715;IID1452 - HUB_OUT_COLLAT_CETIP;19;15;;Triparty Collateral Instruction Feedback;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1414;RMI call to backend;NULL;NULL;;OSCAR backend remote call (GAF / RMI);;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1111;IID3432 - CUSTDY_IPU_REQ_FDBCK;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1377;javascript/java sync call;NULL;NULL;;IAM portlet and security applet are communicating via javascript API;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1443;RMI Call to backend;NULL;NULL;;OREDA backend remote EJB calls;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;Clearing and Emergency ;19;17;;FTP interface using custom format;Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
621;IID3270 - TXN_SCAN_LS_REQ;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;CCP SAFT ;19;15;;SAFT interface, custom format;Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;LIO-006 Online Transaction Counters;LIO-006 Online Transaction Counters;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;Settled / Blocked / Unblocked / Changed / Deleted / new SE Trades.  Once per day after STD;SE Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;Stock exchange trades (pending / of the day);SE Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;18;;Lookup by KADI in LION database of pending trades eligible for transformation;SE Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;;Pending Stock Exchange Trades;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;;Stock Exchange Trade Settlement Status;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;;Statement of pending SE Trades;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;;Statement of LION Transactions;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;;Stock Exchange Trade Settlement Status;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
37;;19;NULL;;Settled SE Trades;Stock Exchange Trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
82;;19;NULL;;PRC-001 Prices;PRC-001 Prices;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;19;NULL;;;Security Instruction;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;19;NULL;;;Lending Fee Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1412;RMI Call;NULL;NULL;;Portal security interface used to raise audit event;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;19;NULL;;Lending Transaction?;Settlement Confirmation/Rejection;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;19;NULL;;;MT548 for KAGplus trade;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;19;NULL;;Scanning of Lending reference data;Lending Master Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
48;;19;NULL;;;Security Positions;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;SER-007 Online Transaction Counters;SER-007 Online Transaction Counters;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1391;IID3434 - ACK/NACK;NULL;15;;(CSIS) validation feedback on submitted instructions/restrictions.  Actual settlement feedback is collected from the PM Publisher by Custody Posting Engine;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;SER-008 Movement based data;SER-008 Movement-based Data;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
262;IID3262 - SEND_RECO_TO_EOC;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;Historical movement data for Re-run processing;Movement;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;Cash movements of settled SE and OTC Trades (daylight processing);Cash Movements;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;Information as base for Clearing and Settlement Statement reporting;Clearing and Settlement Statement;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1421;;NULL;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;MT942 for cash leg of DvP in CeBM;Security Instruction.Cash Movement;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;For ECB Blue Book Reporting;Instruction;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
63;;19;NULL;;Settled via CBF RTGS account;Payment Instructions Statistics;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
36;;19;NULL;;Securities Delivery/Receive against and FoP.  Position Transfer.  Account Transfer.  TefraD transfer.  Federal debt administration.  Physical deliveries/receipts.  Cancellation.  Settlement Release.  Flagging/De-flagging of self-collateral instructions;Security Instruction Creation+feedback / update;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
36;;19;NULL;;Registration/De-registration/Modification of registration details.  Cancellation;Registration Instructions creation+feedback / update;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
36;;19;NULL;;Release/Blocking of SETrades.  Cancellation;SE Trades Update;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
